stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
16,1,1.0,19.341720199999827,,19.335122199999887,19.341720199999827,19.828131399999847,19.828131399999847,19.828131399999847,20.119380099999944,20.516183399999818,right,1.0,1,1,0.686740699999973,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
17,1,1.0,20.52265609999995,,20.51630329999989,20.52265609999995,21.008972200000017,21.008972200000017,21.008972200000017,21.300245799999857,21.891288499999973,right,1.0,1,1,0.8807438000001184,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
18,0.5,1.0,21.897118499999806,,21.891408199999887,21.897118499999806,22.383267400000022,22.383267400000022,22.383267400000022,22.67490889999999,23.133537199999864,left,-1.0,0,0,0.7431000999999924,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
19,0.5,1.5,23.14056819999996,,23.133692399999973,23.14056819999996,23.627489699999842,23.627489699999842,23.627489699999842,23.918320099999846,24.355687699999862,right,1.5,1,1,0.7244568000000982,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
20,0.5,1.5,24.362907899999982,,24.355840699999817,24.362907899999982,24.848817599999848,24.848817599999848,24.848817599999848,25.140123799999856,25.584619299999986,right,1.5,0,0,0.732086900000013,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
21,0.5,2.0,25.592479899999944,,25.584773899999846,25.592479899999944,26.078013399999918,26.078013399999918,26.078013399999918,26.369670999999926,26.557142799999838,right,2.0,0,0,0.4774268999999549,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
22,0.5,2.5,26.56364050000002,,26.55726579999987,26.56364050000002,27.04985889999989,27.04985889999989,27.04985889999989,27.34182029999988,27.717286599999852,left,-2.5,1,1,0.6666957999998431,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
23,0.5,2.5,27.72314110000002,,27.71739989999992,27.72314110000002,28.20973570000001,28.20973570000001,28.20973570000001,28.501975700000003,28.793287899999996,right,2.5,0,0,0.5810040999999728,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
24,0.5,3.0,28.800324099999898,,28.793412699999863,28.800324099999898,29.286064399999987,29.286064399999987,29.286064399999987,29.57747049999989,29.96728179999991,left,-3.0,1,1,0.6772225999998227,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
25,0.5,3.0,29.973170199999913,,29.967394599999807,29.973170199999913,30.459888699999965,30.459888699999965,30.459888699999965,30.751466100000016,31.376641899999868,left,-3.0,1,1,0.9106959999999162,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
